Filename,Right Ascension,Declination,Catalogue Peak,Unseen,Estimated Peak,Estimation Error (95%)
1ES_0033+595,8.96935,59.834590000000006,17.05,False,17.24,0.95
1ES_0120+340,20.785989999999998,34.34685,17.64,False,17.76,0.77
1ES_0229+200,38.20256,20.28819,19.05,False,17.71,0.83
1ES_0347-121,57.34661,-11.99093,18.26,False,17.54,0.79
1ES_0414+009,64.21873000000001,1.08997,16.69,False,17.11,0.97
1ES_0502+675,76.98405,67.6234,16.98,False,16.48,0.85
1ES_0505-546,76.7409,-54.5844,16.22,False,16.18,0.65
1ES_0602-482,91.03593000000001,-48.29032,16.56,False,16.99,0.86
1ES_0646-515,101.79183,-51.59661,16.69,False,17.65,0.8
1ES_0647+250,102.69371,25.0499,16.30,False,16.99,1.39
1ES_0806+524,122.45494,52.316179999999996,15.80,False,15.95,0.97
1ES_0927+500,142.65656,49.84043,17.30,False,17.6,0.84
1ES_0950+495,148.5408,49.2497,16.91,False,16.27,0.77
1ES_1028+511,157.82719,50.89328,16.77,False,16.98,1.06
1ES_1101-232,165.90673,-23.491999999999997,17.17,False,17.63,0.89
1ES_1106+244,167.31736,24.18893,0.00,False,15.8,1.19
1ES_1212+078,183.79574,7.53463,13.91,False,16.69,0.91
1ES_1239+069,190.4512,6.6003,16.20,False,16.25,1.42
1ES_1255+244,194.38304,24.21114,18.68,False,17.56,0.77
1ES_1332-295,203.87396999999999,-29.84415,0.00,False,17.1,1.03
1ES_1421+582,215.66201,58.032090000000004,17.48,False,17.45,0.88
1ES_1440+122,220.70115,12.01122,16.91,False,17.44,0.96
1ES_1533+535,233.7533,53.3436,16.94,False,17.44,0.78
1ES_1544+820,235.06616,81.91826999999999,15.98,False,16.35,1.03
1ES_1853+671,283.4671,67.2319,15.85,False,16.37,0.96
1ES_1959+650,299.99938,65.14851,15.96,False,17.13,1.3
1ES_2037+521,309.84799,52.33056,16.76,False,16.71,1.25
1ES_2321+419,350.96698,42.18293,15.86,False,15.63,0.58
1ES_2322-409,351.18613999999997,-40.6804,15.76,False,15.62,0.7
1ES_2344+514,356.77015,51.70497,16.19,False,16.28,1.44
1E_0317.0+1835,49.96587,18.7596,16.91,False,17.12,0.98
1E_0458.1+6530,75.77422,65.56699,16.95,False,16.82,0.95
1E_1415.6+2557,214.48612999999997,25.72396,17.06,False,17.61,0.89
1H_0323+022,51.55812,2.4207400000000003,15.90,False,15.8,0.67
1H_0323+342,51.17151,34.1794,15.25,False,13.51,1.43
1H_0506-039,77.40908,-4.01269,17.18,False,17.55,0.75
1H_0658+595,107.62528,59.13899,17.72,False,17.61,0.91
1H_1013+498,153.76725,49.43353,15.60,False,15.82,1.21
1H_1241+626,189.41283,62.97858000000001,0.00,False,16.28,0.83
1H_1515+660,229.44827999999998,65.42313,16.64,False,16.6,0.94
1H_1720+117,261.26809,11.87096,15.40,False,16.16,1.0
1H_1914-194,289.43675,-19.35878,15.05,False,14.95,0.82
1REX_J235320-1458.9,358.33789,-14.9825,0.00,False,16.72,0.85
1RXS_J000135.5-415519,0.38648000000000005,-41.9237,15.86,False,15.88,0.54
1RXS_J001328.4+094942,3.37,9.82514,16.32,False,17.0,1.11
1RXS_J001442.2+580201,3.6755400000000003,58.033669999999994,0.00,False,16.39,0.98
1RXS_J002159.2-514028,5.50033,-51.673390000000005,14.82,False,15.32,0.43
1RXS_J002209.2-185333,5.53862,-18.89302,13.82,False,14.84,0.48
1RXS_J002636.3-460101,6.6475,-46.0197,0.00,False,16.01,0.63
1RXS_J003019.6-164723,7.5852,-16.78697,15.55,False,15.46,0.56
1RXS_J004333.7-044257,10.89218,-4.71684,0.00,False,16.36,0.83
1RXS_J004349.3-111612,10.95278,-11.2687,15.48,False,16.14,0.82
1RXS_J004754.5+544758,11.96683,54.79608,15.85,False,15.89,0.98
1RXS_J004836.9-242631,12.15408,-24.448220000000003,14.75,False,14.28,0.89
1RXS_J004939.9-415133,12.412289999999999,-41.86043,15.81,False,16.32,0.9
1RXS_J005117.7-624154,12.81937,-62.70121999999999,15.96,False,15.7,0.62
1RXS_J005932.3-351049,14.88114,-35.18034,0.00,False,16.03,1.21
1RXS_J011050.0-125455,17.70834,-12.91773,17.00,False,17.29,0.84
1RXS_J011130.5+053612,17.87584,5.60755,14.48,False,17.27,0.83
1RXS_J011451.8+262337,18.71435,26.38927,14.08,False,14.44,0.9
1RXS_J011501.3-340008,18.757170000000002,-34.00756,14.52,False,17.61,0.82
