bin_start bin_end freq_inc flux_inc
 6.90 8.10  1 1
 8.10 8.30  1 1
 8.30 8.50  1 1
 8.50 9.10  1 1
 9.10 9.50  1 1
 9.50 9.70  1 1
 9.70 10.30 0 1
10.30 10.90 0 1
10.90 11.20 0 1
11.20 11.50 0 1
11.50 12.10 1 1
13.10 13.60 1 1
13.60 14.10 1 1
14.10 14.50 1 1
14.50 14.60 1 1
14.60 14.70 1 1
14.70 14.90 1 1
14.90 15.30 1 1
16.50 17.30 1 1
17.30 17.50 1 1
17.50 17.70 1 1
17.70 17.90 1 1
17.90 19.70 1 1
22.10 22.90 1 1
22.90 23.30 1 1
23.30 23.50 1 1
23.50 24.00 1 1
24.00 24.50 1 1
24.50 24.90 1 1
24.90 25.90 1 1
