Right Ascension,Declination,Bag,Catalogue Peak,Estimated Peak,Estimate Error (95%)
183.9448,-17.5293,3.0,11.32,13.11,1.55
88.8784,39.8137,1.0,11.53,12.34,0.54
102.6024,-16.6277,1.0,11.57,12.39,0.64
83.5729,-37.7904,4.0,11.57,12.99,1.20
193.6594,11.685,4.0,11.6,12.78,0.81
305.8293,31.884,3.0,11.6,12.91,0.68
303.9807,65.9146,2.0,11.63,12.42,0.65
247.7131,82.5626,3.0,11.76,12.33,0.57
98.3615,-22.3895,1.0,11.78,12.45,0.81
306.4734,-28.7635,3.0,11.8,12.47,0.78
65.7176,2.3242,2.0,11.89,12.29,0.69
208.5287,-2.1009,1.0,11.9,12.31,0.70
195.7186,57.8105,1.0,11.92,12.77,0.97
333.0249,23.9279,1.0,11.92,12.46,0.66
117.0128,-16.664,3.0,11.95,12.40,0.59
206.7046,-60.4083,1.0,11.95,13.53,1.29
240.5303,33.4481,2.0,11.95,12.44,0.64
115.5115,49.0043,1.0,11.99,12.92,0.73
122.1653,49.8435,0.0,11.99,12.46,0.80
164.3518,-23.7005,4.0,11.99,12.75,0.86
170.3546,-5.899,1.0,11.99,12.57,0.63
318.743,28.5492,3.0,11.99,12.51,0.63
124.1089,-0.0992,1.0,12.0,12.85,0.80
147.2388,0.3738,4.0,12.0,12.72,0.64
173.8087,30.1682,3.0,12.0,12.93,0.76
20.4233,11.8307,4.0,12.0,12.60,0.88
206.0362,66.1032,4.0,12.0,12.63,0.75
250.5327,68.9444,1.0,12.0,12.46,0.73
255.4369,-56.3655,0.0,12.0,13.94,2.67
255.9912,76.7695,3.0,12.0,12.95,0.73
44.8628,7.7943,0.0,12.0,12.74,0.86
5.6352,6.1345,2.0,12.0,12.95,0.79
121.3037,-1.1872,2.0,12.02,12.33,0.69
162.7699,-31.6373,0.0,12.02,12.38,0.69
171.9172,56.8374,1.0,12.02,12.43,0.65
186.2266,-83.2195,0.0,12.02,12.50,0.70
218.2404,-18.0265,0.0,12.02,12.41,0.74
109.466,45.6342,2.0,12.05,12.40,0.67
129.1634,-20.2832,1.0,12.05,12.55,0.59
12.7896,-42.4426,3.0,12.06,12.64,0.69
179.6115,48.4212,1.0,12.06,12.51,0.62
312.4411,10.054,1.0,12.06,12.38,0.71
77.5639,-18.2078,2.0,12.06,12.42,0.89
112.0132,53.4214,1.0,12.07,12.70,0.76
268.427,28.8014,3.0,12.08,12.28,0.96
348.5391,-44.9303,2.0,12.08,12.29,0.63
141.8453,24.937,4.0,12.1,13.31,0.86
142.7723,14.2379,0.0,12.1,13.98,2.34
154.0131,5.2173,4.0,12.1,12.71,0.79
165.4534,72.427,3.0,12.1,12.48,0.81
171.4738,26.1722,4.0,12.1,12.25,0.83
200.2967,22.27,0.0,12.1,12.84,0.66
213.7913,8.5348,0.0,12.1,12.57,0.96
226.721,42.6564,1.0,12.1,13.53,2.23
320.9355,5.5895,3.0,12.1,12.53,0.81
327.0228,6.9607,4.0,12.1,12.91,0.77
40.6215,11.0169,0.0,12.1,12.63,0.58
61.8712,7.7021,3.0,12.1,12.79,0.80
72.5234,-81.0174,0.0,12.1,12.59,1.03
81.2276,-28.3116,2.0,12.1,12.45,0.68
326.73,4.4571,3.0,12.12,12.52,0.76
37.7992,-47.7699,4.0,12.12,14.11,1.74
246.4903,41.5779,3.0,12.13,12.47,0.52
342.1612,-32.5978,1.0,12.13,12.47,0.63
62.9436,30.6632,4.0,12.13,12.61,0.85
82.7351,13.532,2.0,12.13,12.41,0.61
91.9987,-8.5806,1.0,12.13,12.75,0.68
149.582,47.4188,3.0,12.14,12.43,0.70
34.3784,73.8257,1.0,12.14,12.46,0.55
84.9762,-28.6655,0.0,12.14,12.27,0.62
153.7098,-45.1448,4.0,12.15,12.68,1.02
272.0576,-50.1982,2.0,12.15,12.37,0.80
356.6067,80.132,0.0,12.15,12.87,1.13
136.1766,-35.2401,2.0,12.16,12.37,0.72
16.2425,-24.2746,1.0,12.16,12.72,0.84
200.3085,-26.6029,2.0,12.16,12.36,0.69
278.416,-21.0615,4.0,12.16,12.64,0.53
3.4755,-4.3979,4.0,12.16,12.36,0.71
69.1801,-58.6695,2.0,12.16,12.29,0.80
12.7842,-6.834,2.0,12.17,12.43,0.64
294.8611,-15.4286,3.0,12.17,12.19,0.74
35.735,-34.6913,4.0,12.17,12.53,0.92
109.7686,-62.3007,0.0,12.19,13.53,1.33
19.6841,-8.8497,2.0,12.19,12.52,0.78
122.236,40.8791,4.0,12.2,12.55,0.78
129.3434,58.4172,4.0,12.2,12.50,1.08
130.3515,70.895,0.0,12.2,12.45,0.65
134.2286,71.7733,4.0,12.2,12.90,0.70
159.6694,-53.1954,1.0,12.2,12.40,0.63
163.6351,39.4701,2.0,12.2,12.57,0.71
179.8826,29.2455,2.0,12.2,12.78,0.73
184.7767,48.4989,4.0,12.2,12.42,0.85
226.1041,10.4942,1.0,12.2,12.70,0.64
297.9478,-5.1622,4.0,12.2,12.72,0.76
324.1608,0.6984,0.0,12.2,12.46,0.64
353.5534,7.6076,3.0,12.2,12.70,1.03
358.5903,45.8845,4.0,12.2,12.31,0.71
39.6622,16.6165,3.0,12.2,12.70,0.65
43.3716,-54.6976,4.0,12.2,12.95,0.81
45.8372,-79.2491,2.0,12.2,12.88,0.83
359.8979,-31.5622,1.0,12.22,12.66,0.77
104.0463,-3.3852,3.0,12.23,12.50,0.60
113.4894,4.9374,4.0,12.23,12.37,0.65
116.6078,25.8173,4.0,12.23,12.31,0.64
161.929,-62.2874,0.0,12.23,12.69,0.70
183.0791,24.6919,4.0,12.23,15.00,2.35
227.1623,-49.884,2.0,12.23,12.31,0.72
239.4643,-0.0307,1.0,12.23,12.77,0.80
327.9814,-30.4649,3.0,12.23,12.36,0.60
350.5848,44.7618,4.0,12.23,12.78,0.72
57.4909,-21.0466,3.0,12.23,12.46,0.61
96.4676,-54.6474,0.0,12.23,12.48,0.68
259.3945,-51.9255,1.0,12.24,12.94,1.59
347.9475,45.7322,4.0,12.24,12.44,0.67
194.6596,-18.0009,0.0,12.25,12.64,0.66
359.5453,-10.3357,1.0,12.25,12.31,0.63
243.4211,34.2133,4.0,12.26,12.54,0.68
260.0431,38.4323,0.0,12.26,12.97,0.90
351.8899,9.6693,0.0,12.26,12.37,0.57
92.6262,-60.9771,3.0,12.26,12.51,0.70
10.5189,23.3336,1.0,12.27,12.39,0.56
14.2304,16.4204,1.0,12.27,12.69,0.68
162.5419,4.547,2.0,12.27,12.55,0.76
171.6839,-38.4789,4.0,12.27,12.51,0.82
174.1139,34.1276,2.0,12.27,12.38,0.62
203.1635,-12.9376,3.0,12.27,12.64,0.70
317.5041,-10.3493,4.0,12.27,12.32,0.64
354.3617,-59.0205,2.0,12.27,13.31,1.80
88.2088,3.2242,3.0,12.27,12.64,0.66
165.5057,70.3159,1.0,12.28,12.69,0.98
172.722,38.2551,1.0,12.29,12.47,0.64
206.0362,66.1032,1.0,12.29,12.63,0.75
221.6473,17.3521,4.0,12.29,12.58,0.71
293.187,-45.6105,2.0,12.29,12.62,0.87
70.6611,-0.2954,1.0,12.29,12.72,0.65
140.2436,44.6983,3.0,12.3,12.56,0.57
141.7625,39.0391,3.0,12.3,12.67,0.79
150.2925,29.1938,1.0,12.3,13.07,1.01
161.0961,80.9109,1.0,12.3,12.95,0.68
164.548,81.2424,4.0,12.3,12.73,0.68
202.7576,29.5379,0.0,12.3,13.19,0.83
209.4807,76.7225,4.0,12.3,12.65,0.74
223.4734,26.8093,0.0,12.3,13.15,0.68
251.494,63.503,3.0,12.3,12.61,0.75
28.0753,22.1188,3.0,12.3,12.76,0.70
326.7924,9.4963,1.0,12.3,12.62,0.66
336.4085,21.3018,0.0,12.3,12.68,0.77
34.2006,-32.7947,2.0,12.3,12.39,0.85
343.3449,-12.5315,2.0,12.3,12.41,0.61
347.2159,11.197,1.0,12.3,12.90,0.88
35.7349,-34.6912,3.0,12.3,12.46,0.93
350.4994,27.5462,4.0,12.3,12.70,0.85
352.3237,-47.5048,4.0,12.3,12.67,0.77
47.2651,10.4879,0.0,12.3,12.75,0.67
69.7533,-45.3729,3.0,12.3,12.62,0.64
7.5728,-42.4129,1.0,12.3,12.75,0.75
73.9615,-46.2665,0.0,12.3,12.59,0.61
116.6685,27.5831,3.0,12.31,12.39,0.66
121.3258,61.7399,4.0,12.31,12.29,0.62
13.7991,-12.2992,1.0,12.31,12.64,0.64
252.0064,22.4092,1.0,12.31,12.54,0.60
36.6984,-18.7276,3.0,12.31,12.64,0.72
42.8594,-60.0017,3.0,12.31,12.95,0.85
55.8706,36.3701,2.0,12.31,12.55,0.61
102.0587,-30.7388,4.0,12.32,12.35,0.63
203.2812,27.4218,2.0,12.32,12.76,0.85
226.277,3.4419,1.0,12.32,12.64,0.63
251.494,63.503,1.0,12.32,12.61,0.75
291.4984,21.1073,4.0,12.32,12.99,0.78
4.9408,73.4583,1.0,12.32,12.54,0.63
60.7733,26.0004,2.0,12.32,12.42,0.63
79.7951,8.8158,0.0,12.32,12.77,0.58
301.5737,64.4126,1.0,12.33,12.40,0.62
124.1684,-24.3518,2.0,12.34,12.63,0.67
147.2306,40.6624,3.0,12.34,12.49,0.69
177.9077,-48.3683,1.0,12.34,13.25,1.46
178.0717,-8.6842,0.0,12.34,12.84,0.73
196.6752,-21.7975,3.0,12.34,14.15,1.13
216.2315,-68.1328,2.0,12.34,12.30,0.76
233.9677,-47.5064,0.0,12.34,12.71,0.77
253.944,20.7563,1.0,12.34,12.51,0.98
306.2952,33.7167,0.0,12.34,12.74,0.53
339.1093,-23.1574,0.0,12.34,12.38,0.64
37.9412,13.3819,2.0,12.34,12.63,0.74
67.1776,-50.0929,1.0,12.34,12.59,0.79
79.1572,-72.6187,3.0,12.34,12.82,0.69
84.9265,14.5627,0.0,12.34,12.57,0.76
92.2044,-54.9452,0.0,12.34,12.54,0.83
